date,bitcoin,bitcoinvol,gld,gldvol,daily_date,week,lg_bitcoin,lg_gld,return_btc,return_gld,u_returnbtc,u_returngld
2019-1-14,3601.0137,38588596987,121.02,40322200,21563,1,8.1889706,4.7959557,,,.99859548,.99859548
2019-1-21,3583.9658,36949379050,122.86,29887200,21570,2,8.1842251,4.8110456,-.0047454834,.015089989,.4227528,.7570225
2019-1-28,3464.0134,40130888766,124.5,54931400,21577,3,8.1501827,4.8243055,-.034042358,.013259888,.21769662,.72893256
2019-2-4,3690.1882,41224140801,124.21,29935800,21584,4,8.2134323,4.8219738,.063249588,-.0023317337,.76825845,.35814607
2019-2-11,3673.8362,44533597993,124.8,35200800,21591,5,8.208992,4.8267126,-.0044403076,.0047388077,.42837077,.51825845
2019-2-18,3810.4275,63853356366,125.5,38577700,21598,6,8.2454967,4.8323059,.036504745,.0055932999,.67837077,.54915732
2019-2-25,3847.1758,56444684748,121.88,42194800,21605,7,8.2550945,4.8030372,.0095977783,-.029268742,.5294944,.068820223
2019-3-4,3951.5999,69110769320,122.84,38729600,21612,8,8.2818756,4.8108826,.026781082,.0078454018,.63061798,.59410113
2019-3-11,4025.229,67357766371,122.97,36566100,21619,9,8.3003368,4.8119407,.018461227,.0010581017,.58286518,.44241574
2019-3-18,4022.1682,67975640775,123.97,39260600,21626,10,8.2995768,4.8200397,-.00076007843,.0080990791,.46769664,.60533708
2019-3-25,4105.4043,71015021591,122.01,37911600,21633,11,8.3200598,4.8041029,.020483017,-.015936852,.59410113,.16151686
2019-4-1,5198.897,123047080530,121.98,36810100,21640,12,8.5562019,4.8038573,.23614216,-.00024557114,.99578649,.41432583
2019-4-8,5167.7222,98826873355,121.83,32231300,21647,13,8.5501871,4.8026266,-.0060148239,-.0012307167,.40589887,.38904494
2019-4-15,5314.5313,90285516253,120.37,23134500,21654,14,8.5782003,4.7905703,.028013229,-.012056351,.64466292,.20646067
2019-4-22,5285.1392,105590631334,121.37,22858300,21661,15,8.5726538,4.7988439,-.0055465698,.0082736015,.41151685,.61657304
2019-4-29,5795.7085,107035835884,120.65,36733700,21668,16,8.6648731,4.7928939,.092219353,-.0059499741,.86095506,.28792134
2019-5-6,6972.3716,141929602925,121.43,21270600,21675,17,8.8497105,4.7993379,.18483734,.0064439774,.97331458,.56039327
2019-5-13,8197.6895,199543788416,120.65,39924600,21682,18,9.0116072,4.7928939,.16189671,-.0064439774,.96769661,.2738764
2019-5-20,8673.2158,173001140580,121.3,20312500,21689,19,9.0679951,4.7982669,.056387901,.0053730011,.74578649,.53511238
2019-5-27,8742.958,173016477871,123.33,31560700,21696,20,9.076004,4.8148637,.0080089569,.016596794,.51544946,.77387643
